network,scenario,method,n,mean_waiting_time_s_mean,mean_waiting_time_s_ci_low,mean_waiting_time_s_ci_high,mean_stopped_vehicles_mean,mean_stopped_vehicles_ci_low,mean_stopped_vehicles_ci_high,mean_speed_m_s_mean,mean_speed_m_s_ci_low,mean_speed_m_s_ci_high,throughput_vehicles_mean,throughput_vehicles_ci_low,throughput_vehicles_ci_high,teleports_mean,teleports_ci_low,teleports_ci_high,emergency_stops_mean,emergency_stops_ci_low,emergency_stops_ci_high,collisions_mean,collisions_ci_low,collisions_ci_high,switches_per_signal_hour_mean,switches_per_signal_hour_ci_low,switches_per_signal_hour_ci_high,llm_call_rate_mean,llm_call_rate_ci_low,llm_call_rate_ci_high,override_accept_rate_mean,override_accept_rate_ci_low,override_accept_rate_ci_high,candidate_application_rate_mean,candidate_application_rate_ci_low,candidate_application_rate_ci_high,fallback_rate_mean,fallback_rate_ci_low,fallback_rate_ci_high,wall_time_s_mean,wall_time_s_ci_low,wall_time_s_ci_high
cologne8,high,ergs_no_calibration,20,3.6991953529192374,3.6475147634354697,3.751931328874472,27.563333333333333,27.12873958333333,27.975624999999997,6.185227654277253,6.157663836156704,6.213348006823596,2994.85,2986.24875,3003.4,0.0,0.0,0.0,0.0,0.0,0.0,107.2,99.8,114.0,66.24375,65.85625,66.61875,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,22.425850495009218,21.877147564868064,22.985255394524575
cologne8,high,ergs_no_event,20,3.6991953529192374,3.647818039587014,3.753571983918851,27.563333333333333,27.132291666666667,27.970625000000002,6.185227654277253,6.157952772433596,6.213172956336396,2994.85,2986.25,3003.4,0.0,0.0,0.0,0.0,0.0,0.0,107.2,99.8,114.1,66.24375,65.85625,66.61875,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,109.29511273000972,106.09470048914416,112.68524473299156
cologne8,high,ergs_no_guard,20,3.6991953529192374,3.647111690730303,3.752736379372698,27.563333333333333,27.13604166666667,27.967927083333333,6.185227654277253,6.157994790800447,6.2137943101628546,2994.85,2986.25,3003.4,0.0,0.0,0.0,0.0,0.0,0.0,107.2,99.9,114.1,66.24375,65.8625,66.61875,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.054307259991766,20.50864715411284,21.625105372622638
cologne8,high,ergs_no_hysteresis,20,3.6991953529192374,3.6481029663728526,3.751889517352088,27.563333333333333,27.130406250000004,27.973968749999997,6.185227654277253,6.157672962267717,6.213158051293875,2994.85,2986.25,3003.25,0.0,0.0,0.0,0.0,0.0,0.0,107.2,99.9,113.9,66.24375,65.8625,66.61875,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.792193315009353,20.766515023125542,22.786113973749014
cologne8,high,ergs_v2,20,3.6991953529192374,3.6479614403853273,3.7529487589948576,27.563333333333333,27.127703124999993,27.969171875,6.185227654277253,6.1579400919454415,6.213146163592935,2994.85,2986.2,3003.35,0.0,0.0,0.0,0.0,0.0,0.0,107.2,99.8,114.0,66.24375,65.8625,66.625,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.92289284999133,20.573588974351296,23.053383210367173
cologne8,high,fixed,20,7.048817320646407,6.979649283413035,7.121481654649149,43.67958333333333,42.879140625000005,44.47708333333333,5.43414460073779,5.3991604754508025,5.468991685376508,2978.65,2970.8,2986.35,0.0,0.0,0.0,0.0,0.0,0.0,133.9,125.1,142.8,144.0,144.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.061609895015135,19.366108531392964,20.81739147038781
cologne8,high,lightgpt_direct,20,9.363339798604574,8.992328645718993,9.76784621230943,39.38208333333333,37.95791145833333,40.960651041666665,5.669348210028486,5.591413718737749,5.74319882141152,2983.6,2974.45,2992.15,0.0,0.0,0.0,0.0,0.0,0.0,130.4,121.6,139.5,44.9875,44.76875,45.20625,1.0,1.0,1.0,0.27854166666666663,0.27419270833333337,0.283203125,0.98609375,0.984765625,0.98734375,0.01390625,0.012656249999999999,0.015234375,21.981613315007415,21.30063280324481,22.698826077387203
cologne8,high,lightgpt_review,20,3.6991953529192374,3.6470174563037254,3.7528735819523136,27.563333333333333,27.1325,27.964374999999997,6.185227654277253,6.157612745411637,6.213406334641604,2994.85,2986.15,3003.25,0.0,0.0,0.0,0.0,0.0,0.0,107.2,99.8,114.0,66.24375,65.85,66.61875,1.0,1.0,1.0,0.0,0.0,0.0,0.937890625,0.9361458333333333,0.9397916666666667,0.062109375,0.060182291666666665,0.06385416666666667,21.395152404985858,20.751369160729812,22.066810856129013
cologne8,high,max_pressure,20,10.882555349252454,10.606785805582925,11.184506154229645,44.415,42.89623958333333,46.15209375000001,5.331003283840664,5.25262118029318,5.402080300239272,2981.9,2973.85,2989.55,0.05,0.0,0.15,0.0,0.0,0.0,126.0,115.5,137.3,50.8875,50.55,51.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.897487544984322,24.130059530365397,25.64710061048201
cologne8,high,ppo_ensemble,20,3.6991953529192374,3.648307476697674,3.751754599088692,27.563333333333333,27.129161458333336,27.968755208333334,6.185227654277253,6.157643852099588,6.213243396614186,2994.85,2986.0,3003.3,0.0,0.0,0.0,0.0,0.0,0.0,107.2,99.9,114.0,66.24375,65.85625,66.61875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.603668094991008,20.854379881725325,22.358434474490053
cologne8,low,ergs_no_calibration,20,3.226947535687727,3.1490579390654365,3.300979151595766,6.139166666666666,5.992911458333333,6.294166666666667,7.585293537572009,7.545536680473493,7.627148904677873,1203.3,1194.0,1212.0012499999998,0.0,0.0,0.0,0.0,0.0,0.0,19.6,16.6,23.0,52.2125,51.83125,52.6125,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20.045028199994704,19.520991018498464,20.62239464713071
cologne8,low,ergs_no_event,20,3.226947535687727,3.1499888589617,3.3004318639167893,6.139166666666666,5.992083333333333,6.2943750000000005,7.585293537572009,7.545173377157305,7.62648338543893,1203.3,1194.05,1212.1,0.0,0.0,0.0,0.0,0.0,0.0,19.6,16.5,23.1,52.2125,51.8375,52.6125,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,113.27128308000974,108.35694504639075,119.33606547951
cologne8,low,ergs_no_guard,20,3.226947535687727,3.1510084428183878,3.302065711697804,6.139166666666666,5.992916666666667,6.296249999999999,7.585293537572009,7.545351811227107,7.627276914983627,1203.3,1193.95,1212.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6,16.5,23.1,52.2125,51.8375,52.60625,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,19.019220944994593,18.523401508266254,19.49857489834394
cologne8,low,ergs_no_hysteresis,20,3.226947535687727,3.1516490316933488,3.3000697384413447,6.139166666666666,5.992286458333332,6.291875,7.585293537572009,7.5456067029257765,7.626735885725591,1203.3,1193.7,1212.05,0.0,0.0,0.0,0.0,0.0,0.0,19.6,16.6,23.1,52.2125,51.825,52.6125,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20.695307110011345,20.265752359399922,21.16300944939212
cologne8,low,ergs_v2,20,3.226947535687727,3.1508893308969235,3.300371909133052,6.139166666666666,5.992500000000001,6.292708333333333,7.585293537572009,7.5453414836024955,7.626832096223679,1203.3,1193.85,1212.15,0.0,0.0,0.0,0.0,0.0,0.0,19.6,16.5,23.1,52.2125,51.83125,52.6125,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.02283631002647,20.48791118514942,21.520764352280093
cologne8,low,fixed,20,5.1353094784161275,5.07266192125022,5.196502061288607,9.353541666666667,9.237291666666668,9.474583333333333,7.14091803130262,7.110006321353685,7.171906141919134,1199.1,1189.75,1207.7,0.0,0.0,0.0,0.0,0.0,0.0,20.0,17.4,22.7,144.0,144.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.917098155018174,17.24524267751127,18.59503252214752
cologne8,low,lightgpt_direct,20,7.48299142958056,7.343466167251273,7.624428690900149,9.949375000000002,9.806869791666669,10.088130208333334,6.721144715497914,6.692509676607073,6.75305862360869,1198.55,1189.9,1206.7,0.0,0.0,0.0,0.0,0.0,0.0,21.7,19.0,24.4,38.21875,38.09375,38.34375,1.0,1.0,1.0,0.21315104166666665,0.20890625000000002,0.21744791666666666,0.9988541666666668,0.9985156250000001,0.9991666666666669,0.0011458333333333333,0.0008333333333333333,0.001484375,18.790469240013046,18.085662496883742,19.434016321286762
cologne8,low,lightgpt_review,20,3.226947535687727,3.151263974145469,3.300239555528448,6.139166666666666,5.993541666666667,6.295833333333333,7.585293537572009,7.544753714915701,7.626622585852126,1203.3,1193.75,1212.15,0.0,0.0,0.0,0.0,0.0,0.0,19.6,16.5,23.1,52.2125,51.83125,52.6125,1.0,1.0,1.0,0.0,0.0,0.0,0.9929687500000002,0.9920826822916665,0.9938802083333336,0.00703125,0.006119791666666666,0.007916666666666666,19.11256895000115,18.420004016987512,19.776463481636746
cologne8,low,max_pressure,20,8.791505218541642,8.589591163581884,8.98509010074566,11.669166666666666,11.413328125,11.918541666666666,6.438816997269477,6.384555846491825,6.497620510009996,1198.45,1189.75,1206.65,0.0,0.0,0.0,0.0,0.0,0.0,23.3,19.2,27.5,43.68125,43.48125,43.88125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.510859159973915,21.880715633348007,23.182239705225076
cologne8,low,ppo_ensemble,20,3.226947535687727,3.149800224910462,3.30080239001579,6.139166666666666,5.991249999999999,6.293125,7.585293537572009,7.544764228233159,7.625838485606049,1203.3,1194.0,1212.15,0.0,0.0,0.0,0.0,0.0,0.0,19.6,16.5,23.1,52.2125,51.8375,52.60625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.550920885009692,17.722707004134136,19.410752533268674
cologne8,nominal,ergs_no_calibration,20,3.0779301294945474,3.026590268028758,3.1313812714732094,12.022291666666666,11.828125000000002,12.213130208333334,7.207194450260116,7.172980624742634,7.2427579938389925,2006.35,2004.8,2008.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,43.2,51.9,60.34375,60.05625,60.61875,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.977939149999294,21.450288167994877,22.485808992757956
cologne8,nominal,ergs_no_event,20,3.0779301294945474,3.0270752628527133,3.1305359174396274,12.022291666666666,11.82875,12.213958333333334,7.207194450260116,7.172926279042299,7.242141526600265,2006.35,2004.8,2008.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,43.1,51.8,60.34375,60.05625,60.625,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,111.43364841997973,107.33850353697767,116.40008590435522
cologne8,nominal,ergs_no_guard,20,3.0779301294945474,3.026789547466607,3.1304313661701086,12.022291666666666,11.827916666666667,12.215005208333334,7.207194450260116,7.1728610500364285,7.242194103707549,2006.35,2004.8,2008.05,0.0,0.0,0.0,0.0,0.0,0.0,47.5,43.2,51.8,60.34375,60.06875,60.625,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,19.710325514996658,19.441182286994735,19.984984081872682
cologne8,nominal,ergs_no_hysteresis,20,3.0779301294945474,3.026250878123927,3.13086648283754,12.022291666666666,11.823947916666667,12.214796875000001,7.207194450260116,7.1729274296682535,7.241811682313811,2006.35,2004.8,2008.05,0.0,0.0,0.0,0.0,0.0,0.0,47.5,43.1,51.9,60.34375,60.05625,60.625,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.501512389990967,20.979218310981086,22.01965532162838
cologne8,nominal,ergs_v2,20,3.0779301294945474,3.02685848970724,3.13110237153598,12.022291666666666,11.82791666666667,12.213130208333334,7.207194450260116,7.173067520159425,7.242224626131718,2006.35,2004.8,2008.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,43.2,51.9,60.34375,60.0625,60.63125,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.228031920007197,20.50968074500648,22.00224362838009
cologne8,nominal,fixed,20,5.71719690665743,5.6494581865468785,5.789964617523181,19.321875000000002,19.07873958333333,19.58583333333333,6.557151503941666,6.525664229852845,6.586722590393521,2000.9,1999.95,2001.9,0.0,0.0,0.0,0.0,0.0,0.0,49.7,45.2,54.7,144.0,144.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.038768890011124,18.58052603341406,19.497015573640965
cologne8,nominal,lightgpt_direct,20,6.910090378907528,6.689502340560596,7.13852813774294,17.377291666666668,16.836869791666665,17.913546875,6.599106507693088,6.545335758155607,6.652486845096401,2000.1,1998.8,2001.45,0.0,0.0,0.0,0.0,0.0,0.0,53.6,50.0,57.4,41.95,41.725,42.18125,1.0,1.0,1.0,0.25221354166666665,0.2473697916666667,0.25697916666666665,0.9959375000000001,0.9954166666666666,0.9964583333333333,0.0040625,0.0035416666666666665,0.004609374999999999,19.92320483500371,19.14758674511293,20.718884079403214
cologne8,nominal,lightgpt_review,20,3.0779301294945474,3.0269569496182056,3.1306537398091128,12.022291666666666,11.830619791666667,12.214583333333334,7.207194450260116,7.1730001062658655,7.243021936528944,2006.35,2004.8,2008.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,43.1,51.9,60.34375,60.0625,60.625,1.0,1.0,1.0,0.0,0.0,0.0,0.9771093750000002,0.9759375000000002,0.9782031250000001,0.022890625,0.021770833333333333,0.024036458333333333,19.711826470011147,19.166499296631372,20.241547776383374
cologne8,nominal,max_pressure,20,9.277239482324148,9.097947765775109,9.463402848959728,22.056041666666665,21.669375000000002,22.447505208333336,6.096125729227289,6.053698755800145,6.140859777002034,1997.1,1994.25,1999.8,0.0,0.0,0.0,0.0,0.0,0.0,63.9,60.3,67.7,48.31875,47.975,48.6375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.904815504996805,22.03494485825664,23.753519877366923
cologne8,nominal,ppo_ensemble,20,3.0779301294945474,3.0262431188498917,3.1296458751590515,12.022291666666666,11.827494791666666,12.215416666666666,7.207194450260116,7.173205094293457,7.242910176071618,2006.35,2004.8,2008.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,43.2,51.80249999999978,60.34375,60.05625,60.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.687740489986027,19.004171057361383,20.40370768459572
cologne8,variable,ergs_no_calibration,20,3.399513496128475,3.313316163662103,3.4878662494742585,16.035208333333333,15.642500000000002,16.443130208333336,6.911772862226103,6.863872389496411,6.956197173294539,2005.0,1997.35,2012.55,0.0,0.0,0.0,0.0,0.0,0.0,67.0,62.0,71.9,58.8125,58.46875,59.16875,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.115911574993515,20.519205407483096,21.7167348841115
cologne8,variable,ergs_no_event,20,3.399513496128475,3.3130681190734483,3.489501337729748,16.035208333333333,15.649375000000001,16.443749999999998,6.911772862226103,6.863776851701583,6.956736693546336,2005.0,1997.35,2012.5012499999998,0.0,0.0,0.0,0.0,0.0,0.0,67.0,62.0,71.9,58.8125,58.4625,59.16875,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,112.33994215999846,108.33643920599832,117.09127992337525
cologne8,variable,ergs_no_guard,20,3.399513496128475,3.3120786199139385,3.488883547994402,16.035208333333333,15.642489583333331,16.447093749999997,6.911772862226103,6.864065232545297,6.955937070836521,2005.0,1997.54875,2012.55,0.0,0.0,0.0,0.0,0.0,0.0,67.0,62.0,71.9,58.8125,58.46875,59.16875,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,19.729243389994373,19.237319976245637,20.234702548238275
cologne8,variable,ergs_no_hysteresis,20,3.399513496128475,3.3125779923999468,3.489975086865601,16.035208333333333,15.63625,16.44646354166667,6.911772862226103,6.863981517362618,6.956211827727124,2005.0,1997.4,2012.45,0.0,0.0,0.0,0.0,0.0,0.0,67.0,61.9,71.8,58.8125,58.46875,59.16875,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,22.273201959993457,21.76876317499162,22.797578802001663
