network,scenario,seed,method,mean_active_vehicles,mean_stopped_vehicles,mean_speed_m_s,mean_waiting_time_s,throughput_vehicles,departed_vehicles,teleports,emergency_stops,collisions,switches_per_signal_hour,simulation_steps,signals,wall_time_s,controller_decisions,llm_call_rate,override_accept_rate,candidate_application_rate,fallback_rate,budget_block_rate,mean_calibrated_lcb_gain,mean_model_uncertainty,mean_llm_confidence
cologne8,high,1003,ergs_no_hysteresis,98.65,27.104166666666668,6.257063621650019,3.612115524403243,3019.0,3090.0,0.0,0.0,108.0,65.875,3600.0,8.0,21.912420099950396,1920.0,0.020833333333333332,0.0,0.0,1.0,0.6880208333333333,-0.4282951879069555,0.0,0.9978368284509121
cologne8,high,1003,ergs_v2,98.65,27.104166666666668,6.257063621650019,3.612115524403243,3019.0,3090.0,0.0,0.0,108.0,65.875,3600.0,8.0,22.00085750001017,1920.0,0.020833333333333332,0.0,0.0,1.0,0.715625,-0.4282951879069555,0.0,0.9978368284509121
cologne8,high,1007,fixed,113.4375,42.00833333333333,5.508642446663706,6.784788481615522,2980.0,3057.0,0.0,0.0,108.0,144.0,3600.0,8.0,23.122767099994235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cologne8,high,1007,max_pressure,115.3125,44.69166666666667,5.26274722898984,10.615509636681631,2971.0,3057.0,0.0,0.0,122.0,50.75,3600.0,8.0,24.699897399987094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cologne8,high,1007,ppo_ensemble,98.52083333333333,27.829166666666666,6.128676455806417,3.830001601959552,2979.0,3057.0,0.0,0.0,120.0,67.25,3600.0,8.0,22.08878869994078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cologne8,high,1007,lightgpt_direct,106.29166666666667,36.6875,5.8574002040850885,8.83363975623207,2998.0,3057.0,0.0,0.0,178.0,45.25,3600.0,8.0,20.97577649995219,1920.0,1.0,0.2625,0.9890625,0.0109375,0.0,0.0,0.0,0.5895123082156764
cologne8,high,1007,lightgpt_review,98.52083333333333,27.829166666666666,6.128676455806417,3.830001601959552,2979.0,3057.0,0.0,0.0,120.0,67.25,3600.0,8.0,20.007631599903107,1920.0,1.0,0.0,0.9348958333333334,0.06510416666666667,0.0,0.0,0.0,0.8900906041184609
cologne8,high,1007,ergs_no_event,98.52083333333333,27.829166666666666,6.128676455806417,3.830001601959552,2979.0,3057.0,0.0,0.0,120.0,67.25,3600.0,8.0,108.44172030000482,1920.0,1.0,0.0,0.0,1.0,0.0,-0.42229493930129536,0.0,0.8900906041184609
cologne8,high,1007,ergs_no_guard,98.52083333333333,27.829166666666666,6.128676455806417,3.830001601959552,2979.0,3057.0,0.0,0.0,120.0,67.25,3600.0,8.0,23.811691400012933,1920.0,0.020833333333333332,0.0,0.0,1.0,0.7177083333333333,0.0,0.0,0.9984370677625578
cologne8,high,1007,ergs_no_calibration,98.52083333333333,27.829166666666666,6.128676455806417,3.830001601959552,2979.0,3057.0,0.0,0.0,120.0,67.25,3600.0,8.0,20.6104658000404,1920.0,0.020833333333333332,0.0,0.0,1.0,0.7177083333333333,0.0,0.0,0.9984370677625578
cologne8,high,1007,ergs_no_hysteresis,98.52083333333333,27.829166666666666,6.128676455806417,3.830001601959552,2979.0,3057.0,0.0,0.0,120.0,67.25,3600.0,8.0,23.524408499943092,1920.0,0.020833333333333332,0.0,0.0,1.0,0.690625,-0.4322450090866109,0.0,0.9984370677625578
cologne8,high,1007,ergs_v2,98.52083333333333,27.829166666666666,6.128676455806417,3.830001601959552,2979.0,3057.0,0.0,0.0,120.0,67.25,3600.0,8.0,23.891831299988553,1920.0,0.020833333333333332,0.0,0.0,1.0,0.7177083333333333,-0.4322450090866109,0.0,0.9984370677625578
cologne8,high,1009,fixed,116.14166666666667,43.88333333333333,5.3741750518473905,7.1063789823496,2998.0,3087.0,0.0,0.0,106.0,144.0,3600.0,8.0,18.521163400029764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cologne8,high,1009,max_pressure,119.22916666666667,46.62083333333333,5.233308164031174,11.291302938896274,2998.0,3087.0,0.0,0.0,124.0,50.125,3600.0,8.0,25.965588499908336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cologne8,high,1009,ppo_ensemble,102.13333333333334,29.341666666666665,6.083357635373249,3.853214552905698,3003.0,3087.0,0.0,0.0,110.0,67.125,3600.0,8.0,23.142681499943137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cologne8,high,1009,lightgpt_direct,117.95,45.77916666666667,5.357904077126639,10.941750115691748,2990.0,3087.0,0.0,0.0,146.0,44.125,3600.0,8.0,22.97068979998585,1920.0,1.0,0.2942708333333333,0.9859375,0.0140625,0.0,0.0,0.0,0.5881875829524184
cologne8,high,1009,lightgpt_review,102.13333333333334,29.341666666666665,6.083357635373249,3.853214552905698,3003.0,3087.0,0.0,0.0,110.0,67.125,3600.0,8.0,23.89172710001003,1920.0,1.0,0.0,0.9359375,0.0640625,0.0,0.0,0.0,0.8902887703021674
cologne8,high,1009,ergs_no_event,102.13333333333334,29.341666666666665,6.083357635373249,3.853214552905698,3003.0,3087.0,0.0,0.0,110.0,67.125,3600.0,8.0,120.02642589993775,1920.0,1.0,0.0,0.0,1.0,0.0,-0.4227322622260163,0.0,0.8902887703021674
