scenario,method,metric,mean,std,ci95_low,ci95_high,n
high,ergs,emergency_stops,0.0,0.0,0.0,0.0,5
high,ergs,mean_speed_m_s,3.026632294819406,0.29984600775935133,2.7839910784149824,3.253521271459202,5
high,ergs,mean_stopped_vehicles,693.0344444444445,81.91343016194027,630.3938888888888,755.6750000000001,5
high,ergs,mean_waiting_time_s,72.54638817592169,7.644168086427595,66.79771491570793,78.24529394625975,5
high,ergs,teleports,321.2,46.64975884182039,283.0,355.6,5
high,ergs,throughput_vehicles,1708.8,159.71286735889504,1583.8,1833.8,5
high,ergs_no_guard,emergency_stops,0.0,0.0,0.0,0.0,5
high,ergs_no_guard,mean_speed_m_s,3.0282502468817247,0.30039641941210055,2.7874634430944227,3.2577028000846395,5
high,ergs_no_guard,mean_stopped_vehicles,692.2983333333332,85.2488476669883,626.7722222222222,757.8244444444443,5
high,ergs_no_guard,mean_waiting_time_s,70.74216573671866,6.980065275992493,65.11909686629335,75.63959673412003,5
high,ergs_no_guard,teleports,320.0,57.245087125446844,271.0,360.0,5
high,ergs_no_guard,throughput_vehicles,1706.8,178.28824975303337,1567.4,1846.2,5
high,ergs_no_hysteresis,emergency_stops,0.0,0.0,0.0,0.0,5
high,ergs_no_hysteresis,mean_speed_m_s,3.0271950868035105,0.3004941493744157,2.7839910784149824,3.2546468554274113,5
high,ergs_no_hysteresis,mean_stopped_vehicles,692.7672222222222,82.29960415071388,629.8594444444445,755.6750000000001,5
high,ergs_no_hysteresis,mean_waiting_time_s,72.23600020167063,8.185622395811155,65.86655099295479,77.95745409542589,5
high,ergs_no_hysteresis,teleports,322.8,43.7744217551757,287.8,355.6,5
high,ergs_no_hysteresis,throughput_vehicles,1710.8,162.41674790488818,1583.8,1837.8,5
high,ergs_no_trigger,emergency_stops,0.0,0.0,0.0,0.0,5
high,ergs_no_trigger,mean_speed_m_s,2.866043993717707,0.6124064346487507,2.3997990163904466,3.351351257609101,5
high,ergs_no_trigger,mean_stopped_vehicles,758.6233333333333,146.3325758174521,642.4546805555557,869.8772222222221,5
high,ergs_no_trigger,mean_waiting_time_s,77.37038204609703,11.686628325222124,68.59744067384862,86.34210376990339,5
high,ergs_no_trigger,teleports,360.8,95.94633916935028,286.96500000000003,436.2,5
high,ergs_no_trigger,throughput_vehicles,1564.2,295.03423530160023,1328.4,1785.2999999999986,5
high,fixed,emergency_stops,0.0,0.0,0.0,0.0,5
high,fixed,mean_speed_m_s,3.2326849221077074,0.6790251392957825,2.6709263790349347,3.7291198033574036,5
high,fixed,mean_stopped_vehicles,649.6861111111111,148.14891111638028,543.4805555555556,772.9711111111111,5
high,fixed,mean_waiting_time_s,69.77752904603052,13.283496472390468,60.216026387521275,80.7740581482201,5
high,fixed,teleports,280.4,110.92925673599368,201.8,374.6,5
high,fixed,throughput_vehicles,1827.4,334.77873289681946,1540.4,2063.479999999999,5
high,max_pressure,emergency_stops,0.0,0.0,0.0,0.0,5
high,max_pressure,mean_speed_m_s,3.099734638647161,0.6443761946472051,2.5348589488878055,3.5401490187865736,5
high,max_pressure,mean_stopped_vehicles,718.1555555555556,127.68527099780911,627.2644444444445,831.0650000000002,5
high,max_pressure,mean_waiting_time_s,73.90210669173999,13.041271468337087,65.33631034352777,85.51309469882354,5
high,max_pressure,teleports,331.6,106.63629776019046,262.4,423.8,5
high,max_pressure,throughput_vehicles,1614.2,265.2823024628669,1380.8,1796.669999999999,5
high,ppo,emergency_stops,0.0,0.0,0.0,0.0,5
high,ppo,mean_speed_m_s,3.0304454911143246,0.30457538699210485,2.780679460299109,3.2592424710789016,5
high,ppo,mean_stopped_vehicles,691.8127777777778,85.37761678743715,625.335,758.2905555555556,5
