name,fold,overall_improvement,h4_improvement,worst_condition_improvement,worst_network_improvement
zero_effect,0,0.0,0.0,0.0,0.0
zero_effect,1,0.0,0.0,0.0,0.0
zero_effect,2,0.0,0.0,0.0,0.0
zero_effect,3,0.0,0.0,0.0,0.0
zero_effect,4,0.0,0.0,0.0,0.0
global_canonical_mean,0,0.15143420281274422,-0.002794250402178511,-0.23320056066529604,0.11576793700550769
global_canonical_mean,1,0.12049920845641249,0.0071987407718745455,0.05578705477307866,0.10180946357759257
global_canonical_mean,2,0.10773039135203266,-0.004446500548693111,-0.041052862303879056,0.07851580659295121
global_canonical_mean,3,0.10883393187183144,-0.013985949500219697,-0.05381138347745673,0.05889252555220048
global_canonical_mean,4,0.10679761000984411,0.007685132689932983,-0.033231423840807794,0.06971001395575505
network_condition_mean_oracle,0,0.1780349408093055,-0.008666066895507862,-0.05689837922479013,0.14234431893793165
network_condition_mean_oracle,1,0.11969932245082238,0.008807887768345846,0.08296239855515697,0.10766194450543809
network_condition_mean_oracle,2,0.09557171089933458,-0.04895706920661125,-0.031372170361112506,0.06750599001500335
network_condition_mean_oracle,3,0.11040205547804693,-0.05406713517630579,0.01934284857534818,0.03782540640771326
network_condition_mean_oracle,4,0.10119904245415412,-0.02052707831287659,-0.01426158630691332,0.059570741110369085
target_shuffle_history_ridge_alpha1,0,-0.04470152150075801,-0.22581393289105378,-1.0769160299809744,-0.10068082941414791
target_shuffle_history_ridge_alpha1,1,-0.010942807804471322,-0.05799646358016619,-1.3654272212669647,-0.012162326459813855
target_shuffle_history_ridge_alpha1,2,-0.06277158411566197,-0.3199801958174424,-0.6321334624091155,-0.12063687611756158
target_shuffle_history_ridge_alpha1,3,0.011348870355339269,-0.20724274429171885,-0.4151242208083734,-0.050150869330848113
target_shuffle_history_ridge_alpha1,4,-0.11011919982366192,-0.2859760738506143,-0.8515805137618169,-0.1867029772834945
current_ridge_alpha=0,0,0.18162080708884576,-0.022506485528923426,-0.28740623202085347,0.15413236191697122
current_ridge_alpha=0,1,0.2202045961709438,0.03891617238333456,0.2060327397524082,0.19219769329719072
