name,overall_improvement,h4_improvement,overall_nrmse,h4_nrmse,worst_condition_improvement,worst_network_improvement
history_ridge_alpha=100,0.20144599119645887,-0.054052382054996496,0.8933016090725279,1.0259695449363668,-0.3994666327560603,0.11479859105226708
current_ridge_alpha=100,0.18057476409750423,-0.006337529865102276,0.9051113926869636,1.003103420601155,-0.21038516847428368,0.10463817656418639
current_ridge_alpha=10,0.1785487880876299,-0.013217659626375045,0.9061805781997009,1.0064901981956609,-0.2525129236493189,0.09923136768871754
current_ridge_alpha=1,0.1784930235579949,-0.01458048185870071,0.9062017488082713,1.0071599682527341,-0.2508060820646929,0.09707173234218913
current_ridge_alpha=0.1,0.17843184983091648,-0.01500944980065042,0.9062338090768771,1.0073731063255245,-0.25597296103075706,0.09623499363138732
current_ridge_alpha=0.01,0.1783772332196543,-0.015097069631150272,0.9062638244795735,1.0074167569423558,-0.2578394248887965,0.09609486525028232
current_ridge_alpha=0,0.17512385941749317,-0.01642727795023522,0.9080556684412866,1.0080730835249194,-0.28740623202085347,0.09542843875055629
history_ridge_alpha=10,0.15411021698986566,-0.14923500134179013,0.9192300164932397,1.0706255364846076,-0.7902913854247986,0.05334826391186842
network_condition_mean_oracle,0.1209814144183327,-0.02468189236459113,0.9374233542249538,1.0121970348491374,-0.05689837922479013,0.03782540640771326
global_canonical_mean,0.11905906890057298,-0.0012685653978567579,0.9385406725257279,1.0006259558545607,-0.23320056066529604,0.05889252555220048
history_ridge_alpha=1,0.10565954670460187,-0.22220673975793045,0.945164232000683,1.104070321960664,-1.1844829271089505,0.0020626165542103614
history_ridge_alpha=0.1,0.08187513650475595,-0.24950095304486614,0.9576221370658059,1.1163394027100089,-1.4052489268683432,-0.013335692949116185
history_ridge_alpha=0.01,0.07512520234946281,-0.25716456913073615,0.961123607819558,1.1197641781964507,-1.4495278690056672,-0.018516749058510085
history_ridge_alpha=0,0.0036416865571037072,-0.3925962649214994,0.9973948170847742,1.1765061728051105,-2.246232653413379,-0.1612835677768405
zero_effect,0.0,0.0,1.0,1.0,0.0,0.0
target_shuffle_history_ridge_alpha1,-0.04343724857784279,-0.2194018820861991,1.0212804766864796,1.103482623325339,-1.3654272212669647,-0.1867029772834945
