file,rung,candidate_id,recipe_id,status,error,model_seed,parameter_count,encoder,paired_head,width,depth,dropout,activation,action_dim,max_actions,overall_improvement,h4_improvement,overall_nrmse,h4_nrmse,worst_condition_improvement,worst_network_improvement,groupcv_folds,action_permutation_degradation,effective_rank_fraction,equal_action_max_abs,swap_antisymmetry_max_abs,peak_vram_mib,p95_batch1_ms,wall_seconds,train_rows,tune_rows,n_train_clusters,n_folds_recorded,model_sha256,corr_mcar,corr_burst,corr_spatial,corr_mnar,corr_min,corr_mean,cond_demand_shock,cond_emergency_vehicle,cond_lane_closure,cond_normal,cond_packet_loss,cond_sensor_delay_noise,net_cologne8,net_moscow
R1_m-023c6568a5dc.json,R1,m-023c6568a5dc,r-05cbd60ed1,complete,,88001,48738,gru,antisymmetric,64,1,0.1,silu,8,2,0.11394131961084,-0.003641590596027355,0.9412478529505428,1.0017911791314558,-0.06735036037141384,0.05704837697000542,5,0.26783850327095127,0.11161118745803833,0.0,0.0,88.0,8.154110098257659,2.6500590997748077,2400,600,50,5,811d9c4ca9aff63514e3f600e27598a9166f90d99a70abab94daab6adb77d37f,-0.02845615506399568,-0.033099360920194165,-0.030255722158601728,-0.02948195465423109,-0.033099360920194165,-0.030323298199255666,0.12213868738206775,0.14906198908886462,0.10226833796146084,0.1477408122913939,0.101897291709281,-0.0014344269120250886,0.08640040556577785,0.16008586412299614
R1_m-05cd12db3e43.json,R1,m-05cd12db3e43,r-05cbd60ed1,complete,,88001,236098,transformer,direct,96,2,0.1,silu,8,2,0.12865363706200678,-0.017642181840346494,0.9332470379917917,1.0087559513752042,-0.2575892324285498,0.05666277953892751,5,0.3057137828495765,0.06986955553293228,0.06492660939693451,0.11251106858253479,100.0,12.493824935518203,4.25243189977482,2400,600,50,5,e11c0b85d2b3b6071fab7c0ce3777979fc53addcac9a78b265b82cfb96df5876,-0.030616492373770177,-0.032019184099278064,-0.02662557313429592,-0.03503161729863247,-0.03503161729863247,-0.031073216726494157,0.16940798003879126,0.17481116501471006,0.11596993950904266,0.17224976913656784,0.09485522082266813,-0.09454894485472179,0.09381324974169772,0.18539040450321695
R1_m-0afa94f18f3c.json,R1,m-0afa94f18f3c,r-05cbd60ed1,complete,,88001,14402,tcn,direct,32,2,0.1,gelu,8,2,0.10906632457015612,-0.013241968500359214,0.9437890699587278,1.0065812497606033,-0.05080027902439688,0.0602651994992478,5,0.18128045059593784,0.25632011890411377,0.02325422875583172,0.03090149536728859,88.0,10.895070014521478,8.960134099936113,2400,600,50,5,39f49a11d46cd61d506262893a353e8b6601f0467fba8612e4a1e690a2ac34e7,-0.028073425104704564,-0.02931407713679257,-0.027935138891935107,-0.028729819275303825,-0.02931407713679257,-0.028513115102184017,0.1253868313042424,0.13047231869244663,0.09679622546946749,0.12693619902838238,0.10066996626979548,0.049021343950459005,0.08952963210832535,0.14204626113418523
R1_m-167b9a8f0975.json,R1,m-167b9a8f0975,r-05cbd60ed1,complete,,88001,103042,gru,shared_branch,96,1,0.0,silu,8,2,0.12929376934259076,-8.9272365366444e-05,0.9330075330657461,1.0000287354826312,-0.2305215282406856,0.053867648795795864,5,0.396865963907141,0.09553929418325424,0.0,0.0,90.0,10.87594995042309,3.33674839977175,2400,600,50,5,76cdacfadcb9bed6793e69bad5f23a7e1debde694f43811f168eb455fb31cbc8,-0.015646860635334603,-0.0176798265942264,-0.01365608651507677,-0.016736564891623118,-0.0176798265942264,-0.015929834659065223,0.15500283568895717,0.17285456914255343,0.09815071567038783,0.17700099207154213,0.11026510688828964,-0.044856704212523454,0.09390035415612694,0.1871675357998201
R1_m-17bdc0534018.json,R1,m-17bdc0534018,r-05cbd60ed1,complete,,88001,44578,mlp,shared_branch,64,1,0.0,gelu,8,2,0.12407002860863389,-0.0016949977051051945,0.9358329794111258,1.0008093943992695,-0.13609591678267807,0.06442233579173728,5,0.3501250875108223,0.19981501996517181,0.0,0.0,88.0,10.680644935928283,3.904831000138074,2400,600,50,5,186154fd06af652f6cbfdaefe4864fedbd73e13342084d95e5131d94eab71f4b,-0.020687024956387745,-0.02582478053141002,-0.024686946422848965,-0.023406994305903206,-0.02582478053141002,-0.023651436554137484,0.1470063461849471,0.1663086187690772,0.10273351783041777,0.16474797948333683,0.10536617881237331,-0.03942591226555574,0.09298320805781343,0.17566337870168777
R1_m-1d3d20efeb7e.json,R1,m-1d3d20efeb7e,r-05cbd60ed1,complete,,88001,29314,transformer,antisymmetric,32,2,0.0,silu,8,2,0.09528753797124385,-0.0024435062800643335,0.9511347772209809,1.0012058391586929,-0.015200806851787707,0.049280891116098346,5,0.1682950642215244,0.1689990758895874,0.0,0.0,90.0,14.773560129106041,5.271509299753234,2400,600,50,5,a72d3c8cd5291373d8236ba22b1f85e7444838dfefd2db0671c2b82ba953089b,-0.021922520772532872,-0.023703821110675483,-0.019813541811943836,-0.02155607081690758,-0.023703821110675483,-0.021748988628014942,0.0965589416604885,0.11297231412988025,0.08522455533070657,0.11684747105791686,0.09526793424197899,0.04637280261476784,0.07480760903334174,0.13030164914348263
R1_m-209166a5751a.json,R1,m-209166a5751a,r-05cbd60ed1,complete,,88001,92482,mlp,antisymmetric,96,2,0.1,gelu,8,2,0.11975203103897651,-0.004628452082002199,0.9381148624551209,1.0022758848072404,-0.194875389795365,0.05710955358465486,5,0.34419262623520563,0.1444774866104126,0.0,0.0,68.0,12.58349997224286,3.8545552000869066,2400,600,50,5,3e41b8c668f3fccd2e40b76ad045d7f3cb39607f2fda6f4821003779f13c994c,-0.030789437042010093,-0.03294431770188466,-0.030670592398768015,-0.0316637215429032,-0.03294431770188466,-0.03151701717139149,0.1448211960242941,0.16214948841202972,0.09943039540864185,0.16519287000628252,0.10407567467466954,-0.07644248309374994,0.09074547978629244,0.16802549548860735
R1_m-21d7d32c1289.json,R1,m-21d7d32c1289,r-05cbd60ed1,complete,,88001,75106,tcn,shared_branch,96,1,0.1,gelu,8,2,0.12921501471376176,-0.0041236438336895945,0.9330905428970157,1.0020224461894247,-0.23261866203605663,0.05947813700075166,5,0.4192446709905554,0.10765055567026138,0.0,0.0,90.0,11.145154992118478,4.114417300093919,2400,600,50,5,2dcc20b4bef0764f082440bc3a4b167421206ae6e308f7c9cc6a2ea3a1c0fe3c,-0.023173710572806483,-0.021449518199857742,-0.02307372042885092,-0.025682463385470866,-0.025682463385470866,-0.023344853146746503,0.16772849264975404,0.16572573527561144,0.10447184001794378,0.17150084694744297,0.09938081037135471,-0.0431847103790266,0.0958942832782711,0.1842143244309307
R1_m-252ed6fedd71.json,R1,m-252ed6fedd71,r-05cbd60ed1,complete,,88001,103810,tcn,antisymmetric,96,2,0.0,silu,8,2,0.1293980726839838,-0.002920691799921271,0.9329635787366719,1.0014360037106975,-0.17314665698559795,0.06495208769694738,5,0.35928331482301745,0.10515239834785461,0.0,0.0,72.0,8.513624907936899,11.172521299682558,2400,600,50,5,44b439e75175f09a69917e81028c13b9a9a3fc6adb2ec4706eb7b9c07b756a20,-0.016352914373093164,-0.018028707996555315,-0.017661826354542054,-0.018086307291371506,-0.018086307291371506,-0.01753243900389051,0.15429379167647075,0.16591637569406653,0.10698513505304627,0.16751036320916923,0.11104971894651741,-0.013041820594516262,0.09796576516484108,0.1819622330544865
R1_m-2d78cf1af11b.json,R1,m-2d78cf1af11b,r-05cbd60ed1,complete,,88001,141250,transformer,shared_branch,96,1,0.0,gelu,8,2,0.14084439940993804,-0.00027489450534698976,0.9267952101038794,1.0001209796390338,-0.1669910783015489,0.07190220271042314,5,0.3700752336129922,0.0907348170876503,0.0,0.0,92.0,14.559304947033514,4.742460000095889,2400,600,50,5,a50c5e0e2b907a7bc3c5619846ba86b50ecbd09af46ff91dc674c0376f54a023,-0.008707707201296655,-0.012866985694186317,-0.010049302180554331,-0.01555672160147692,-0.01555672160147692,-0.011795179169378556,0.17100750329122189,0.174918169343219,0.11367997622258541,0.17734662963035636,0.12301578889678713,-0.002709094108817434,0.10195657525991708,0.20421468709484905
