rung,candidate_id,encoder,paired_head,width,depth,dropout,activation,fold,status,overall_improvement,h4_improvement,overall_nrmse,h4_nrmse,worst_condition_improvement,worst_network_improvement,action_permutation_degradation,effective_rank_fraction,equal_action_max_abs,swap_antisymmetry_max_abs,peak_vram_mib,p95_batch1_ms,n_epochs,final_train_loss,corr_mcar,corr_burst,corr_spatial,corr_mnar,cond_demand_shock,cond_emergency_vehicle,cond_lane_closure,cond_normal,cond_packet_loss,cond_sensor_delay_noise,net_cologne8,net_moscow
R1,m-023c6568a5dc,gru,antisymmetric,64,1,0.1,silu,0,complete,0.14434018336307952,-0.00826101492915221,0.9250188196122933,1.0041220119732222,-0.06452632467622643,0.12832567413462193,0.29483000330939224,0.1568412482738495,0.0,0.0,88.0,6.291020044591278,3,0.0025403593899682164,-0.006996418637771118,-0.009412707808462484,-0.007058051125384157,-0.006870431600708438,0.15713588833151382,0.18911243151151258,0.08714199643528453,0.15640086239460027,0.1997241083119553,-0.06452632467622643,0.12832567413462193,0.16449665249692236
R1,m-023c6568a5dc,gru,antisymmetric,64,1,0.1,silu,1,complete,0.13039902573611495,0.010101718655650238,0.9325239805301979,0.9949363202458487,0.08063111243859344,0.110587660687955,0.29642304522592133,0.1255710870027542,0.0,0.0,88.0,5.5322200525552025,3,0.002360016049351543,0.010176181482088098,0.009086889164912404,0.011712975209046128,0.00922023865247279,0.1634252931913588,0.12561575247845413,0.08063111243859344,0.13553525588550797,0.1638374587289555,0.18108397288943157,0.110587660687955,0.17248389423662758
R1,m-023c6568a5dc,gru,antisymmetric,64,1,0.1,silu,2,complete,0.10217001500297762,-0.004700190193122955,0.9475389094897488,1.0023473400938034,-0.06735036037141384,0.07731168576900205,0.2911702716290441,0.11161118745803833,0.0,0.0,88.0,8.154110098257659,3,0.002350238966755569,-0.004428008774789438,-0.006069156360479333,-0.003562838055526818,-0.0065103897554463774,0.05175510709028874,0.21631919586008697,0.17071518957997678,0.15503594478877025,-0.0029432277303036436,-0.06735036037141384,0.07731168576900205,0.14062868456025146
R1,m-023c6568a5dc,gru,antisymmetric,64,1,0.1,silu,3,complete,0.09856690367579557,-0.028706466538145792,0.9494383056966917,1.0142516781046733,-0.06644047664309105,0.05704837697000542,0.23849538756876876,0.15411122143268585,0.0,0.0,88.0,3.265034989453852,3,0.0023521158727817237,-0.02845615506399568,-0.033099360920194165,-0.030255722158601728,-0.02948195465423109,0.12227285692578371,0.1561946062711217,0.1094577952436927,0.11345589980762538,0.06704746921655247,-0.06644047664309105,0.05704837697000542,0.16894583476421565
R1,m-023c6568a5dc,gru,antisymmetric,64,1,0.1,silu,4,complete,0.09423047027623233,0.013358000024633943,0.9517192494237824,0.993298545239731,0.010061054241174316,0.058728630267304904,0.21827380862162982,0.12706975638866425,0.0,0.0,88.0,5.860755068715658,3,0.0024125095224007964,0.012836742073395357,0.014204772425569279,0.013371206311115658,0.01375617157654152,0.11610429137139366,0.05806795932314768,0.06339559610975676,0.17827609858046567,0.08182065001924532,0.010061054241174316,0.058728630267304904,0.15387425455696369
R1,m-05cd12db3e43,transformer,direct,96,2,0.1,silu,0,complete,0.1853362769460435,-0.03242832114118577,0.9025872384728008,1.0160848001723015,-0.2175642182007389,0.14594304601964592,0.342199536698262,0.07530077546834946,0.057468827813863754,0.11251106858253479,100.0,9.991970018018035,3,0.002450253057759255,-0.030616492373770177,-0.030748694016737632,-0.02662557313429592,-0.03503161729863247,0.21354562844135627,0.2849257087895165,0.10664751374331993,0.1872498744320944,0.26329112855258885,-0.2175642182007389,0.14594304601964592,0.2349180925310821
R1,m-05cd12db3e43,transformer,direct,96,2,0.1,silu,1,complete,0.15648577735365388,-0.007743521614229643,0.9184303036411343,1.003864294421427,0.10849566664016697,0.13203933703066917,0.32042860092407244,0.07466844469308853,0.053442422300577164,0.08525124192237854,100.0,8.876539953052996,3,0.0022899018367752433,-0.008501905198399662,-0.0038861480663230363,-0.0008832241221392589,-0.011685890142305366,0.22413270724327972,0.16037491031959605,0.10849566664016697,0.16633317254099755,0.15717807628564096,0.15222281329047638,0.13203933703066917,0.2084168393373914
R1,m-05cd12db3e43,transformer,direct,96,2,0.1,silu,2,complete,0.08668043907856637,-0.022865867814299667,0.9556775402411807,1.0113683146185168,-0.2575892324285498,0.05666277953892751,0.2976848356843631,0.07486345618963242,0.05692068114876747,0.08312709629535675,100.0,8.21037502028048,3,0.0023122220300137997,-0.025066559063644744,-0.024642100601252492,-0.021698612462079492,-0.02310603810910239,0.07014120892466813,0.22561077607779245,0.1493343936420476,0.17169656618959206,-0.05894001160569018,-0.2575892324285498,0.05666277953892751,0.13312118086180236
R1,m-05cd12db3e43,transformer,direct,96,2,0.1,silu,3,complete,0.11714638936907384,-0.03118681725679573,0.9396029005015503,1.0154736910707218,-0.07869796628677106,0.06750183631391693,0.2872551388262854,0.09273353964090347,0.05077493563294411,0.07567659020423889,100.0,12.493824935518203,3,0.0022898734896443784,-0.02810103260870922,-0.032019184099278064,-0.026480712331896417,-0.02846806986177519,0.17312817828870353,0.17772922459950125,0.14421677098746566,0.12667182739008565,0.04642306592933165,-0.07869796628677106,0.06750183631391693,0.20129991926533242
R1,m-05cd12db3e43,transformer,direct,96,2,0.1,silu,4,complete,0.09761930256269635,0.0060136186247783385,0.9499372071022923,0.9969886565930535,-0.07111612064802553,0.06691924980532904,0.28100080211489975,0.06986955553293228,0.06492660939693451,0.0967242568731308,100.0,6.598880048841236,3,0.002328301256056875,0.0037743077928680258,0.004517241834632979,0.006012693165864169,0.004725853542274727,0.16609217729594872,0.025415205287144027,0.07115535253221317,0.20929740513006956,0.06632384495146937,-0.07111612064802553,0.06691924980532904,0.1491959905204765
