candidate,corr_min_reported,worst_mode_foldavg,mean_all_modes_folds,folds_x_modes_positive,clean_h4,foldavg_mcar,foldavg_burst,foldavg_spatial,foldavg_mnar
m-e27868141735,-0.013670766603087,-2.7702730212920275e-05,0.00201653847841213,10,0.0005352340703677,0.0024490350421383796,0.0017232547483117598,0.0039215668534112996,-2.7702730212920275e-05
m-e8303caeab0f,-0.0250715790005497,-0.00717249723021394,-0.0008126941396482601,11,0.0029052284530099,0.0006821214444372802,0.0023952904567943996,0.0008443087703892196,-0.00717249723021394
m-b3a8b1c508b4,-0.0214164641916592,-0.00561869969300136,0.0001625182750505654,11,0.0015458073493576,0.0008635869435899598,0.0033961467090779006,0.0020090391405357603,-0.00561869969300136
m-49b072af5e16,-0.017465526159287,-0.0028088402815804802,-0.0017423877411151347,8,0.0001462574188633,-0.00257391417972436,-3.1015872870499005e-05,-0.0028088402815804802,-0.0015557806302851991
m-bab63fe33ce4,-0.0133615811168608,0.00013520783947968025,0.00107025774859885,11,0.0007774744314513,0.00013520783947968025,0.0020982226489149,0.0008909831172417395,0.0011566173887590805
