file,rung,candidate_id,recipe_id,status,error,model_seed,parameter_count,encoder,paired_head,width,depth,dropout,activation,action_dim,max_actions,overall_improvement,h4_improvement,overall_nrmse,h4_nrmse,worst_condition_improvement,worst_network_improvement,groupcv_folds,action_permutation_degradation,effective_rank_fraction,equal_action_max_abs,swap_antisymmetry_max_abs,peak_vram_mib,p95_batch1_ms,wall_seconds,train_rows,tune_rows,n_train_clusters,n_folds_recorded,model_sha256,corr_mcar,corr_burst,corr_spatial,corr_mnar,corr_min,corr_mean,cond_demand_shock,cond_emergency_vehicle,cond_lane_closure,cond_normal,cond_packet_loss,cond_sensor_delay_noise,net_cologne8,net_moscow,F0_structural,F1_h4_ge_0.05,F2_overall_ge_0.10,F3_permutation_ge_0.05,F5proxy_corruption_pos,F7_resources
R1_m-023c6568a5dc.json,R1,m-023c6568a5dc,r-05cbd60ed1,complete,,88001,48738,gru,antisymmetric,64,1,0.1,silu,8,2,0.11394131961084,-0.0036415905960273,0.9412478529505428,1.0017911791314558,-0.0673503603714138,0.0570483769700054,5,0.2678385032709512,0.1116111874580383,0.0,0.0,88.0,8.154110098257659,2.650059099774808,2400,600,50,5,811d9c4ca9aff63514e3f600e27598a9166f90d99a70abab94daab6adb77d37f,-0.0284561550639956,-0.0330993609201941,-0.0302557221586017,-0.029481954654231,-0.0330993609201941,-0.0303232981992556,0.1221386873820677,0.1490619890888646,0.1022683379614608,0.1477408122913939,0.101897291709281,-0.001434426912025,0.0864004055657778,0.1600858641229961,True,False,True,True,False,True
R1_m-05cd12db3e43.json,R1,m-05cd12db3e43,r-05cbd60ed1,complete,,88001,236098,transformer,direct,96,2,0.1,silu,8,2,0.1286536370620067,-0.0176421818403464,0.9332470379917917,1.0087559513752042,-0.2575892324285498,0.0566627795389275,5,0.3057137828495765,0.0698695555329322,0.0649266093969345,0.1125110685825347,100.0,12.493824935518203,4.25243189977482,2400,600,50,5,e11c0b85d2b3b6071fab7c0ce3777979fc53addcac9a78b265b82cfb96df5876,-0.0306164923737701,-0.032019184099278,-0.0266255731342959,-0.0350316172986324,-0.0350316172986324,-0.0310732167264941,0.1694079800387912,0.17481116501471,0.1159699395090426,0.1722497691365678,0.0948552208226681,-0.0945489448547217,0.0938132497416977,0.1853904045032169,False,False,True,True,False,True
R1_m-0afa94f18f3c.json,R1,m-0afa94f18f3c,r-05cbd60ed1,complete,,88001,14402,tcn,direct,32,2,0.1,gelu,8,2,0.1090663245701561,-0.0132419685003592,0.9437890699587278,1.0065812497606033,-0.0508002790243968,0.0602651994992478,5,0.1812804505959378,0.2563201189041137,0.0232542287558317,0.0309014953672885,88.0,10.895070014521478,8.960134099936113,2400,600,50,5,39f49a11d46cd61d506262893a353e8b6601f0467fba8612e4a1e690a2ac34e7,-0.0280734251047045,-0.0293140771367925,-0.0279351388919351,-0.0287298192753038,-0.0293140771367925,-0.028513115102184,0.1253868313042424,0.1304723186924466,0.0967962254694674,0.1269361990283823,0.1006699662697954,0.049021343950459,0.0895296321083253,0.1420462611341852,False,False,True,True,False,True
R1_m-167b9a8f0975.json,R1,m-167b9a8f0975,r-05cbd60ed1,complete,,88001,103042,gru,shared_branch,96,1,0.0,silu,8,2,0.1292937693425907,-8.9272365366444e-05,0.933007533065746,1.0000287354826312,-0.2305215282406856,0.0538676487957958,5,0.396865963907141,0.0955392941832542,0.0,0.0,90.0,10.87594995042309,3.33674839977175,2400,600,50,5,76cdacfadcb9bed6793e69bad5f23a7e1debde694f43811f168eb455fb31cbc8,-0.0156468606353346,-0.0176798265942264,-0.0136560865150767,-0.0167365648916231,-0.0176798265942264,-0.0159298346590652,0.1550028356889571,0.1728545691425534,0.0981507156703878,0.1770009920715421,0.1102651068882896,-0.0448567042125234,0.0939003541561269,0.1871675357998201,True,False,True,True,False,True
R1_m-17bdc0534018.json,R1,m-17bdc0534018,r-05cbd60ed1,complete,,88001,44578,mlp,shared_branch,64,1,0.0,gelu,8,2,0.1240700286086338,-0.0016949977051051,0.9358329794111258,1.0008093943992695,-0.136095916782678,0.0644223357917372,5,0.3501250875108223,0.1998150199651718,0.0,0.0,88.0,10.680644935928283,3.904831000138074,2400,600,50,5,186154fd06af652f6cbfdaefe4864fedbd73e13342084d95e5131d94eab71f4b,-0.0206870249563877,-0.02582478053141,-0.0246869464228489,-0.0234069943059032,-0.02582478053141,-0.0236514365541374,0.1470063461849471,0.1663086187690772,0.1027335178304177,0.1647479794833368,0.1053661788123733,-0.0394259122655557,0.0929832080578134,0.1756633787016877,True,False,True,True,False,True
R1_m-1d3d20efeb7e.json,R1,m-1d3d20efeb7e,r-05cbd60ed1,complete,,88001,29314,transformer,antisymmetric,32,2,0.0,silu,8,2,0.0952875379712438,-0.0024435062800643,0.9511347772209808,1.0012058391586929,-0.0152008068517877,0.0492808911160983,5,0.1682950642215244,0.1689990758895874,0.0,0.0,90.0,14.77356012910604,5.271509299753234,2400,600,50,5,a72d3c8cd5291373d8236ba22b1f85e7444838dfefd2db0671c2b82ba953089b,-0.0219225207725328,-0.0237038211106754,-0.0198135418119438,-0.0215560708169075,-0.0237038211106754,-0.0217489886280149,0.0965589416604885,0.1129723141298802,0.0852245553307065,0.1168474710579168,0.0952679342419789,0.0463728026147678,0.0748076090333417,0.1303016491434826,True,False,False,True,False,True
R1_m-209166a5751a.json,R1,m-209166a5751a,r-05cbd60ed1,complete,,88001,92482,mlp,antisymmetric,96,2,0.1,gelu,8,2,0.1197520310389765,-0.0046284520820021,0.9381148624551208,1.0022758848072404,-0.194875389795365,0.0571095535846548,5,0.3441926262352056,0.1444774866104126,0.0,0.0,68.0,12.58349997224286,3.8545552000869066,2400,600,50,5,3e41b8c668f3fccd2e40b76ad045d7f3cb39607f2fda6f4821003779f13c994c,-0.03078943704201,-0.0329443177018846,-0.030670592398768,-0.0316637215429032,-0.0329443177018846,-0.0315170171713914,0.1448211960242941,0.1621494884120297,0.0994303954086418,0.1651928700062825,0.1040756746746695,-0.0764424830937499,0.0907454797862924,0.1680254954886073,True,False,True,True,False,True
R1_m-21d7d32c1289.json,R1,m-21d7d32c1289,r-05cbd60ed1,complete,,88001,75106,tcn,shared_branch,96,1,0.1,gelu,8,2,0.1292150147137617,-0.0041236438336895,0.9330905428970157,1.0020224461894247,-0.2326186620360566,0.0594781370007516,5,0.4192446709905554,0.1076505556702613,0.0,0.0,90.0,11.145154992118478,4.114417300093919,2400,600,50,5,2dcc20b4bef0764f082440bc3a4b167421206ae6e308f7c9cc6a2ea3a1c0fe3c,-0.0231737105728064,-0.0214495181998577,-0.0230737204288509,-0.0256824633854708,-0.0256824633854708,-0.0233448531467465,0.167728492649754,0.1657257352756114,0.1044718400179437,0.1715008469474429,0.0993808103713547,-0.0431847103790266,0.0958942832782711,0.1842143244309307,True,False,True,True,False,True
R1_m-252ed6fedd71.json,R1,m-252ed6fedd71,r-05cbd60ed1,complete,,88001,103810,tcn,antisymmetric,96,2,0.0,silu,8,2,0.1293980726839838,-0.0029206917999212,0.932963578736672,1.0014360037106975,-0.1731466569855979,0.0649520876969473,5,0.3592833148230174,0.1051523983478546,0.0,0.0,72.0,8.513624907936899,11.172521299682558,2400,600,50,5,44b439e75175f09a69917e81028c13b9a9a3fc6adb2ec4706eb7b9c07b756a20,-0.0163529143730931,-0.0180287079965553,-0.017661826354542,-0.0180863072913715,-0.0180863072913715,-0.0175324390038905,0.1542937916764707,0.1659163756940665,0.1069851350530462,0.1675103632091692,0.1110497189465174,-0.0130418205945162,0.097965765164841,0.1819622330544865,True,False,True,True,False,True
R1_m-2d78cf1af11b.json,R1,m-2d78cf1af11b,r-05cbd60ed1,complete,,88001,141250,transformer,shared_branch,96,1,0.0,gelu,8,2,0.140844399409938,-0.0002748945053469,0.9267952101038794,1.0001209796390338,-0.1669910783015489,0.0719022027104231,5,0.3700752336129922,0.0907348170876503,0.0,0.0,92.0,14.559304947033514,4.742460000095889,2400,600,50,5,a50c5e0e2b907a7bc3c5619846ba86b50ecbd09af46ff91dc674c0376f54a023,-0.0087077072012966,-0.0128669856941863,-0.0100493021805543,-0.0155567216014769,-0.0155567216014769,-0.0117951791693785,0.1710075032912218,0.174918169343219,0.1136799762225854,0.1773466296303563,0.1230157888967871,-0.0027090941088174,0.101956575259917,0.204214687094849,True,False,True,True,False,True
R1_m-2ec290c9c919.json,R1,m-2ec290c9c919,r-05cbd60ed1,complete,,88001,65506,transformer,shared_branch,64,1,0.1,silu,8,2,0.1219237894078893,-0.0030586674519957,0.9369018217790864,1.0014948895714262,-0.1839074549024841,0.0449095024647441,5,0.3840719499588566,0.1202300712466239,0.0,0.0,92.0,14.743415010161696,4.313496100017801,2400,600,50,5,349e368f90060dd79d672924bf527b653bd0ca661125ab1d4739301d467f325a,-0.0255769860768075,-0.0226062502556327,-0.0257521414208883,-0.0246545772964474,-0.0257521414208883,-0.024647488762444,0.156446656766083,0.1673688279564392,0.1003023284361672,0.1702196559983571,0.1010765771298135,-0.1071725955286577,0.0894939103426215,0.1749785789756079,True,False,True,True,False,True
R1_m-31d1827937ce.json,R1,m-31d1827937ce,r-05cbd60ed1,complete,,88001,18690,transformer,antisymmetric,32,1,0.1,gelu,8,2,0.0932025897743805,-0.0020660260068375,0.95223344712855,1.0010192770739903,-0.0085094677147028,0.0488084638184829,5,0.160082969419488,0.176264002919197,0.0,0.0,88.0,7.918404985684901,2.787329100072384,2400,600,50,5,26b857a6d55055fb8ae7e81d286f2735fbfbd377839e905b9ea2027a6d106b55,-0.0198028002348498,-0.024799387843599,-0.0180371570334563,-0.0192777441021463,-0.024799387843599,-0.0204792723035128,0.0935468532191124,0.1099840503592171,0.0850653626972871,0.1135557191152138,0.091431454631195,0.0515669607339595,0.0732962334871539,0.1270935954455623,True,False,False,True,False,True
R1_m-32f594f9afbc.json,R1,m-32f594f9afbc,r-05cbd60ed1,complete,,88001,48226,tcn,shared_branch,64,2,0.1,gelu,8,2,0.1193510253476399,-0.0043305467531185,0.9383211981743624,1.0021189461039346,-0.1748908231784474,0.0526911149220972,5,0.3527271478369982,0.1853494048118591,0.0,0.0,70.0,15.228155045770103,14.24013809976168,2400,600,50,5,079a8d6c0248db74ccc5603e5d1e2670f4bf53af735093575269c7d90d6cc3ce,-0.0333971842372224,-0.0369878761034954,-0.0358518502825255,-0.0403129514954991,-0.0403129514954991,-0.0366374655296856,0.1440063114419377,0.1637584263106018,0.1013840586258623,0.1636656863813831,0.0968399543169483,-0.0671029232591745,0.0893162459817657,0.1694723055650523,True,False,True,True,False,True
R1_m-33159a09ba2a.json,R1,m-33159a09ba2a,r-05cbd60ed1,complete,,88001,104578,gru,direct,96,1,0.0,gelu,8,2,0.1224767671923882,-0.0199227962995716,0.9366048156031364,1.0098760255624195,-0.2301175970803994,0.0582870133808934,5,0.3142669862475832,0.0993330851197242,0.0611882209777832,0.0915965810418129,102.0,12.98171014059335,4.0812029000371695,2400,600,50,5,6c832f6200e1b9c203132de78297ee23e3498a0a0fd1c3c0e7efe28f91392044,-0.0423681248163452,-0.042044651821101,-0.0373232546652677,-0.0478651718272498,-0.0478651718272498,-0.0424003007824909,0.1629383620649936,0.172525952964017,0.1009885926538719,0.1660032455670937,0.0928478847278528,-0.0922864827205685,0.0902932087196885,0.1756112000822206,False,False,True,True,False,True
R1_m-33959483a866.json,R1,m-33959483a866,r-05cbd60ed1,complete,,88001,103042,gru,shared_branch,96,1,0.1,silu,8,2,0.1266286873317343,-0.0016398889316728,0.9344304896406668,1.0008008101912984,-0.223225532100687,0.0490686943825368,5,0.3946850739757993,0.0961552187800407,0.0,0.0,90.0,12.195299833547324,4.24451609980315,2400,600,50,5,b4d125e2bbe82c2fa3c1a32859e15ed06de39af03783a917eac49d0e94018227,-0.0219573424732115,-0.0176772251070853,-0.0187268908202349,-0.021275695690311,-0.0219573424732115,-0.0199092885227107,0.1519320703949752,0.1715863773270292,0.0982533560223764,0.1754021066749356,0.1061336048815504,-0.0555867150225561,0.092424048374982,0.1828881785639298,True,False,True,True,False,True
