block,stratifier,scheme,stratum,rows,clusters,measure_median,incumbent_cost_median,gain_h4_mean,numerator_pp,numerator_lo,numerator_hi,denominator_pp,denominator_lo,denominator_hi,factor,factor_lo,factor_hi,den_sign_flip_rate,factor_fieller_kind,factor_fieller_lo,factor_fieller_hi
validation,local_total_queue,within_network_tercile,T1,600,272,2.9999999329447746,1461.5,-14.3525,6.911508544995648,1.685785126013298,12.271872473132865,0.3158851564388887,-2.287021091697909,2.926544623237219,21.87981424297394,-80.34880585070005,80.84600771371507,0.3965,unbounded,-400.0,400.0
validation,local_total_queue,within_network_tercile,T2,600,272,5.000000074505806,1524.0,-46.40833333333333,16.476480764495584,11.257882099253024,22.03293860218479,1.034351152198698,-1.350862581702673,3.511412121101156,15.929291256138574,-163.59326645050317,146.33834506923375,0.204,unbounded,-400.0,400.0
validation,local_total_queue,within_network_tercile,T3,600,273,17.000000178813934,2648.0,-105.74416666666667,20.85901497518712,16.89550859630626,24.867812049575967,0.2803281629190746,-1.696463475090864,2.2704259481713343,74.40927360983248,-407.5729451746806,288.8467597311974,0.401,unbounded,-400.0,400.0
validation,local_total_queue,global_tercile,T1,600,217,2.9999999329447746,1120.75,13.5925,9.852359950728518,1.745871113541193,17.560602627454024,0.38161020218238084,-2.8350776037212095,4.013038503926037,25.817863082234457,-97.40001182725958,112.45976274445155,0.402,unbounded,-400.0,400.0
validation,local_total_queue,global_tercile,T2,600,272,7.000000029802322,1658.6589446002135,-65.84416666666667,14.403099186541501,9.602013131715971,19.31813597021044,-0.20894426358505358,-2.3597471521735063,1.9930453466517635,-68.93273325342346,-205.75501579932296,227.7403921578856,0.5745,unbounded,-400.0,400.0
validation,local_total_queue,global_tercile,T3,600,247,17.000000178813934,8314.5,-114.25333333333333,19.217582952670842,15.682117813236921,22.814542051455856,0.7974504646079628,-1.0566122760740668,2.6240884218927807,24.098779555064226,-210.7263594027462,265.47680470691853,0.1905,unbounded,-400.0,400.0
validation,observed_cost,within_network_tercile,T1,600,274,3.099999837577343,1443.9487046507634,-13.04,4.688755961422675,0.03632280072267485,9.767176198975436,1.2062995675228394,-1.1253157282108497,3.5918796105549737,3.88689185311666,-33.27744898550777,52.7647212401443,0.1535,unbounded,-400.0,400.0
validation,observed_cost,within_network_tercile,T2,600,274,5.499999955296516,1524.0,-50.718333333333334,18.149474065910308,12.84895496816015,23.668561024159025,-0.0355130983462959,-2.6211615866197127,2.5990399746927886,-511.0642244991091,-192.10177391046602,179.33400610406818,0.4945,unbounded,-400.0,400.0
validation,observed_cost,within_network_tercile,T3,600,275,17.72944642510265,2678.5,-102.74666666666667,20.914167903816015,16.95969977517602,24.90112601998108,0.39973250213029,-1.598092263809741,2.4787650275006126,52.32040875425034,-246.46596330442043,347.10816430829084,0.35,unbounded,-400.0,400.0
validation,observed_cost,global_tercile,T1,600,215,3.099999837577343,1133.0,15.0475,11.501542622792737,3.4051181018234393,19.172354627542703,-0.29439466241499845,-3.398417430577004,3.136790026852368,-39.0684482131656,-113.75367846878139,107.95058464132714,0.5625,unbounded,-400.0,400.0
validation,observed_cost,global_tercile,T2,600,270,7.300000101327896,1743.0558201386107,-64.2375,12.189345967278275,7.370238960420528,17.035721129579393,0.28468637815639575,-1.827105574145597,2.502978989637138,42.816751704859996,-169.67552676287212,191.63865155194992,0.396,unbounded,-400.0,400.0
validation,observed_cost,global_tercile,T3,600,252,17.72944642510265,8142.75,-117.315,19.81172464573816,16.164457071092706,23.43420317072689,0.7242446939543234,-1.1143519740378856,2.5548625778954945,27.35501524708118,-269.6277392652478,280.9026272361158,0.214,unbounded,-400.0,400.0
validation,policy_entropy,within_network_tercile,T1,600,272,0.0890528298914432,2149.5,-110.3175,24.574035790096403,19.742802033379398,29.535294999550494,0.1524091096097524,-2.0556875858897765,2.3068805838766067,161.23731614874518,-374.32437499821145,373.32300633713675,0.4525,unbounded,-400.0,400.0
validation,policy_entropy,within_network_tercile,T2,600,275,0.41886651515960693,1693.5,-65.10666666666667,17.647568609186635,13.327145227534945,22.367999137304817,0.4909715296752881,-1.5043504931694383,2.5006814405455233,35.9441791275721,-205.39910521134456,270.4555530975344,0.315,unbounded,-400.0,400.0
validation,policy_entropy,within_network_tercile,T3,600,268,0.6566468477249146,1742.0,8.919166666666667,5.085133177888224,-1.9712147073412192,11.47094287476454,0.8557936489380746,-2.1647433826113787,3.7548874585431298,5.942008548670808,-64.65672785355177,55.633062940443914,0.273,unbounded,-400.0,400.0
validation,policy_entropy,global_tercile,T1,600,221,0.0862774513661861,7764.75,-157.59833333333333,22.89425070839959,19.205839093667045,27.13341678864407,0.22356522954478653,-1.609338762382099,2.0714525371111567,102.40523875298423,-400.4753961009271,301.9056146919564,0.412,unbounded,-400.0,400.0
validation,policy_entropy,global_tercile,T2,600,257,0.3705661743879318,1451.75,-29.953333333333333,12.152144022660295,5.812371839973579,18.009626001795063,-0.031204186849376203,-3.1152147530676157,2.9118748233815643,-389.43953519183674,-106.6000382627729,140.8845482023626,0.486,unbounded,-400.0,400.0
validation,policy_entropy,global_tercile,T3,600,236,0.6566468477249146,1340.5,21.046666666666667,4.960193689092374,-3.1601585649788473,12.258795464169635,1.992655098695395,-0.7489053876371432,5.253592431221716,2.4892384499153146,-35.58639178241991,47.056104518935705,0.087,unbounded,-400.0,400.0
